,start_bin,end_bin,weight
0,0.0,1.0,0.04170887897310738
1,1.0,2.0,0.06479283480186154
2,2.0,3.0,0.10964440685539806
3,3.0,4.0,0.16045499634476526
4,4.0,5.0,0.2151705836080933
5,5.0,6.0,0.2686478864612477
6,6.0,7.0,0.33369030557295326
7,7.0,8.0,0.38630057375131976
8,8.0,9.0,0.4859148435092087
9,9.0,10.0,0.5251005740036374
10,10.0,15.0,0.6884356986305542
11,15.0,20.0,0.9325267353983239
12,20.0,25.0,1.2703833893930645
13,25.0,30.0,1.6440046895867557
14,30.0,35.0,2.3625469759467013
15,35.0,40.0,3.1566626778269464
16,40.0,45.0,4.093951977634676
17,45.0,50.0,6.158563074040446
18,50.0,55.0,8.26811846804253
19,55.0,60.0,14.855229003506283
20,60.0,65.0,24.734865324033848
21,65.0,70.0,27.15990533797189
22,70.0,75.0,44.247011745816614
23,75.0,80.0,71.50168922712203
24,80.0,85.0,156.52975122982434
25,85.0,90.0,160.55271212591796
26,90.0,95.0,566.9065934616425
27,95.0,100.0,131.66053841760927
28,100.0,inf,
