calo_en;calo_et;en;et;eta;n_calopu;simen_pu;simen_pu_frac;simen_sig;simen_sig_frac;simfrac_sig;xtals
211.2115631103516;72.95991122374521;209.1465301513672;72.25344636360077;-1.7247337102890017;15;0.7614415232528585;0.003640708371789744;206.18100412723462;0.9858208213065436;0.9761823694260118;16
118.1964340209961;86.51158606446786;119.38594818115234;87.38390649004333;0.8316558003425598;2;0.00021140544165040734;1.7707732348000255e-06;114.96733985714495;0.9629888743916266;0.9726802742350288;17
118.1964340209961;86.51158606446786;0.2499831616878509;0.19154537849561606;0.7625264525413513;1;0.16590659039989947;0.663671062001623;0.014663440498191266;0.05865771278027604;0.00012405992295492173;1
30.710187911987305;22.71749916103629;29.22572135925293;21.61858827460089;-0.8160690665245056;3;0.00405531608475566;0.00013875845988217965;28.474375860967307;0.974291635472404;0.9271964060451978;8
30.710187911987305;22.71749916103629;0.2693585455417633;0.1920216788635853;-0.8698165416717529;1;0.0008368031063178423;0.0031066514137681155;0.013588904496061231;0.0504491307997292;0.00044248848411497315;1
26.674457550048828;9.771153504883843;11.66486644744873;4.2963482067860825;1.6561810970306396;4;0.013100206369414131;0.0011230481230481066;11.84199646629699;1.0151849161450963;0.4439451652982279;5
26.674457550048828;9.771153504883843;6.902114391326903;2.5212306026845592;1.6650649309158323;1;0.008519279140661492;0.0012342999054560284;6.600903449325442;0.9563596131672406;0.24746158143760866;6
26.674457550048828;9.771153504883843;1.7824002504348757;0.64344403882491;1.6777299642562866;1;0.003224078172603467;0.0018088407313771675;1.87534201208624;1.0521441587705609;0.07030478533884213;2
26.674457550048828;9.771153504883843;2.0209343433380127;0.6907416630605943;1.736121416091919;3;2.0616888381905687;1.0201661647182665;0.01295283840818212;0.006409331629640025;0.0004855895713672501;1
26.674457550048828;9.771153504883843;0.9349678158760072;0.2996644451472711;1.8042647838592532;2;0.7044785260867679;0.7534789049682048;0.004923478995223849;0.0052659341975433175;0.00018457653678565007;1
235.43084716796875;25.64588935181861;236.66671752929688;26.01768166627731;-2.897988557815552;107;3.8595328275111394;0.016307881681898805;212.8138939340124;0.8992134430886687;0.903933772884824;16
235.43084716796875;25.64588935181861;20.085506439208984;2.5070474050455003;-2.7701220512390137;59;18.76280742481905;0.9341465937942256;0.06941024833733549;0.003455738024202343;0.00029482223409668385;1
235.43084716796875;25.64588935181861;2.705287218093872;0.3644193878436297;-2.693237543106079;34;1.6184879168307065;0.5982684226671808;0.05748363462391794;0.021248625373101987;0.0002441635635915887;1
140.6949462890625;75.6640132825708;132.92622375488278;71.48820923001419;-1.2316944599151611;16;0.2246075097325071;0.0016897155684395685;128.1249622790472;0.9638802537211228;0.9106578854354168;17
140.6949462890625;75.6640132825708;4.744138240814209;2.5410723061886946;-1.2365084886550903;6;0.010403848493878905;0.0021929901629707464;4.486289760200834;0.945649037290886;0.03188664467722672;8
140.6949462890625;75.6640132825708;1.7340744733810425;0.9166958007090592;-1.2520161867141724;0;0.0;0.0;1.6745939067693631;0.9656989549614292;0.011902303181017274;1
140.6949462890625;75.6640132825708;0.5392917394638062;0.27679992380185625;-1.286586046218872;1;0.5644571273391528;1.046663774046247;0.022493216431214963;0.04170880950926297;0.00015987224150185105;1
47.780738830566406;10.131427203058326;27.02040863037109;5.713329287400638;2.2355682849884038;32;1.4889249793186408;0.0551037180705358;27.093492624251343;1.002704770119505;0.5670379589634773;6
47.780738830566406;10.131427203058326;7.7218971252441415;1.6303282389126734;2.237090826034546;26;0.5341132176486715;0.06916865233837009;7.95837606371894;1.030624461144621;0.16656033913455914;2
47.780738830566406;10.131427203058326;2.1509664058685303;0.4712214785724313;2.1992712020874023;21;1.7613416220833158;0.8188605908850124;0.3363513244252151;0.15637218856953794;0.007039475166299514;1
47.780738830566406;10.131427203058326;2.7727372646331787;0.567418880887878;2.2690017223358154;24;2.0820983267818765;0.7509180019828995;0.13095841442421025;0.04723073336035518;0.002740820205576923;3
47.780738830566406;10.131427203058326;1.2206907272338867;0.23225534518806984;2.343306303024292;15;0.5101500390547737;0.4179191564851037;0.08409931334775872;0.06889485720787747;0.001760109102665414;1
47.780738830566406;10.131427203058326;1.3299669027328491;0.26368468588021426;2.3013272285461426;20;0.6320096523303569;0.4752070529211575;0.056433516655966624;0.04243227146480535;0.0011810934287994905;1
47.780738830566406;10.131427203058326;1.766142725944519;0.3192681685680698;2.395397424697876;19;0.31045958207824736;0.1757839712032424;0.010609832707439308;0.0060073472837622755;0.00022205250414947456;1
47.780738830566406;10.131427203058326;1.801719069480896;0.3197835588159106;2.414029121398926;17;0.3240353482971953;0.17984787627882245;0.008285068945756462;0.004598424408164544;0.00017339767338332406;2
47.780738830566406;10.131427203058326;8.955154418945312;0.9702669815784316;2.9126126766204834;47;9.56001954542812;1.0675437963641552;0.006452531758402262;0.0007205383019137493;0.00013504462083107081;1
25.92922019958496;12.673938122184527;11.530789375305176;5.6315321514016174;1.3439804315567017;10;0.06672421505897244;0.005786612944459105;10.193785867203474;0.8840492645746277;0.39313892931367983;3
25.92922019958496;12.673938122184527;11.274545669555664;5.5308867062322475;1.3388890027999878;8;1.8293292894318969;0.16225303821967593;8.999330438100367;0.7981989431646016;0.34707293041710585;1
25.92922019958496;12.673938122184527;0.4249181747436523;0.20240333999666865;1.3725143671035769;1;0.00014437268267226866;0.0003397658449403037;0.3796099179884383;0.8933718079191413;0.014640236577362038;1
25.92922019958496;12.673938122184527;0.6196671724319458;0.31359085883060683;1.3030110597610474;2;0.6515145920757973;1.0513943953475269;0.008853709576992429;0.01428784671978856;0.0003414568393820862;1
